[ORB-SLAM3] solving the global RGB-D trajectory from the complete short-baseline scan
[166/267] RGB-D 182->183: fitness=0.333, rmse=0.5 mm, 0.11s
[167/267] RGB-D 183->184: fitness=0.327, rmse=0.3 mm, 0.10s
[168/267] RGB-D 184->185: fitness=0.334, rmse=0.3 mm, 0.11s
[169/267] RGB-D 185->186: fitness=0.340, rmse=0.3 mm, 0.11s
[170/267] RGB-D 186->187: fitness=0.335, rmse=0.4 mm, 0.11s
[171/267] RGB-D 187->188: fitness=0.343, rmse=0.3 mm, 0.11s
[172/267] RGB-D 188->189: fitness=0.349, rmse=0.3 mm, 0.11s
[173/267] RGB-D 189->190: fitness=0.340, rmse=0.5 mm, 0.10s
[174/267] RGB-D 190->191: fitness=0.351, rmse=0.4 mm, 0.11s
[175/267] RGB-D 191->192: fitness=0.344, rmse=0.5 mm, 0.11s
[176/267] RGB-D 192->193: fitness=0.338, rmse=0.4 mm, 0.11s
[177/267] RGB-D 193->194: fitness=0.333, rmse=0.5 mm, 0.11s
[178/267] RGB-D 194->195: fitness=0.339, rmse=0.3 mm, 0.11s
[179/267] RGB-D 195->196: fitness=0.334, rmse=0.5 mm, 0.10s
[180/267] RGB-D 196->197: fitness=0.335, rmse=0.3 mm, 0.11s
[181/267] RGB-D 197->198: fitness=0.333, rmse=0.5 mm, 0.12s
[182/267] RGB-D 198->199: fitness=0.340, rmse=0.4 mm, 0.10s
[183/267] RGB-D 199->200: fitness=0.339, rmse=0.3 mm, 0.10s
[184/267] RGB-D 200->201: fitness=0.339, rmse=0.3 mm, 0.10s
[185/267] RGB-D 201->202: fitness=0.330, rmse=0.5 mm, 0.11s
[186/267] RGB-D 202->203: fitness=0.336, rmse=0.3 mm, 0.11s
[187/267] RGB-D 203->204: fitness=0.339, rmse=0.3 mm, 0.10s
[188/267] RGB-D 204->205: fitness=0.348, rmse=0.3 mm, 0.10s
[189/267] RGB-D 205->206: fitness=0.358, rmse=0.3 mm, 0.10s
[190/267] RGB-D 206->207: fitness=0.343, rmse=0.4 mm, 0.11s
[191/267] RGB-D 207->208: fitness=0.346, rmse=0.3 mm, 0.12s
[192/267] RGB-D 208->209: fitness=0.350, rmse=0.3 mm, 0.11s
[193/267] RGB-D 209->210: fitness=0.342, rmse=0.3 mm, 0.11s
[194/267] RGB-D 210->211: fitness=0.336, rmse=0.3 mm, 0.10s
[195/267] RGB-D 211->212: fitness=0.338, rmse=0.4 mm, 0.11s
[196/267] RGB-D 212->213: fitness=0.340, rmse=0.3 mm, 0.11s
[197/267] RGB-D 213->214: fitness=0.333, rmse=0.4 mm, 0.11s
[198/267] RGB-D 214->215: fitness=0.333, rmse=0.4 mm, 0.11s
[199/267] RGB-D 215->216: fitness=0.335, rmse=0.3 mm, 0.11s
[200/267] RGB-D 216->217: fitness=0.335, rmse=0.3 mm, 0.10s
[201/267] RGB-D 217->218: fitness=0.341, rmse=0.4 mm, 0.11s
[202/267] RGB-D 218->219: fitness=0.345, rmse=0.3 mm, 0.12s
[203/267] RGB-D 219->220: fitness=0.350, rmse=0.3 mm, 0.11s
[204/267] RGB-D 220->221: fitness=0.340, rmse=0.3 mm, 0.10s
[205/267] RGB-D 221->222: fitness=0.348, rmse=0.5 mm, 0.10s
[206/267] RGB-D 222->223: fitness=0.339, rmse=0.3 mm, 0.10s
[207/267] RGB-D 223->224: fitness=0.337, rmse=0.3 mm, 0.11s
[208/267] RGB-D 224->225: fitness=0.327, rmse=0.5 mm, 0.11s
[209/267] RGB-D 225->226: fitness=0.331, rmse=0.3 mm, 0.10s
[210/267] RGB-D 226->227: fitness=0.331, rmse=0.3 mm, 0.11s
[211/267] RGB-D 227->228: fitness=0.321, rmse=0.5 mm, 0.11s
[212/267] RGB-D 228->229: fitness=0.332, rmse=0.3 mm, 0.10s
[213/267] RGB-D 229->230: fitness=0.326, rmse=0.3 mm, 0.12s
[214/267] RGB-D 230->231: fitness=0.332, rmse=0.3 mm, 0.11s
[215/267] RGB-D 231->232: fitness=0.323, rmse=0.5 mm, 0.10s
[216/267] RGB-D 232->233: fitness=0.324, rmse=0.3 mm, 0.12s
[217/267] RGB-D 233->234: fitness=0.328, rmse=0.3 mm, 0.11s
[218/267] RGB-D 234->235: fitness=0.325, rmse=0.3 mm, 0.11s
[219/267] RGB-D 235->236: fitness=0.325, rmse=0.4 mm, 0.11s
[220/267] RGB-D 236->237: fitness=0.325, rmse=0.3 mm, 0.11s
[221/267] RGB-D 237->238: fitness=0.325, rmse=0.3 mm, 0.11s
[222/267] RGB-D 238->239: fitness=0.334, rmse=0.3 mm, 0.11s
[223/267] RGB-D 239->240: fitness=0.334, rmse=0.3 mm, 0.10s
[224/267] RGB-D 240->241: fitness=0.343, rmse=0.3 mm, 0.11s
[225/267] RGB-D 241->242: fitness=0.336, rmse=0.3 mm, 0.11s
[226/267] RGB-D 242->243: fitness=0.343, rmse=0.4 mm, 0.11s
[227/267] RGB-D 243->244: fitness=0.358, rmse=0.3 mm, 0.11s
[228/267] RGB-D 244->245: fitness=0.360, rmse=0.4 mm, 0.11s
[229/267] RGB-D 245->246: fitness=0.360, rmse=0.3 mm, 0.11s
[230/267] RGB-D 246->247: fitness=0.364, rmse=0.3 mm, 0.12s
[231/267] RGB-D 247->248: fitness=0.361, rmse=0.3 mm, 0.11s
[232/267] RGB-D 248->249: fitness=0.362, rmse=0.2 mm, 0.11s
[233/267] RGB-D 249->250: fitness=0.377, rmse=0.3 mm, 0.11s
[234/267] RGB-D 250->251: fitness=0.387, rmse=0.4 mm, 0.11s
[235/267] RGB-D 251->252: fitness=0.387, rmse=0.2 mm, 0.11s
[236/267] RGB-D 252->253: fitness=0.393, rmse=0.3 mm, 0.11s
[237/267] RGB-D 253->254: fitness=0.394, rmse=0.3 mm, 0.11s
[238/267] RGB-D 254->255: fitness=0.399, rmse=0.4 mm, 0.11s
[239/267] RGB-D 255->256: fitness=0.381, rmse=0.4 mm, 0.10s
[240/267] RGB-D 256->257: fitness=0.385, rmse=0.4 mm, 0.11s
[241/267] RGB-D 257->258: fitness=0.380, rmse=0.3 mm, 0.11s
[242/267] RGB-D 258->259: fitness=0.382, rmse=0.3 mm, 0.11s
[243/267] RGB-D 259->260: fitness=0.379, rmse=0.3 mm, 0.11s
[244/267] RGB-D 260->261: fitness=0.384, rmse=0.2 mm, 0.11s
[245/267] RGB-D 261->262: fitness=0.384, rmse=0.2 mm, 0.11s
[246/267] RGB-D 262->263: fitness=0.381, rmse=0.3 mm, 0.11s
[247/267] RGB-D 263->264: fitness=0.378, rmse=0.3 mm, 0.11s
[248/267] RGB-D 264->265: fitness=0.388, rmse=0.2 mm, 0.11s
[249/267] RGB-D 265->266: fitness=0.385, rmse=0.2 mm, 0.11s
[250/267] RGB-D 266->267: fitness=0.384, rmse=0.3 mm, 0.10s
[251/267] RGB-D 267->268: fitness=0.385, rmse=0.3 mm, 0.12s
[252/267] RGB-D 268->269: fitness=0.381, rmse=0.2 mm, 0.11s
[253/267] RGB-D 269->270: fitness=0.384, rmse=0.2 mm, 0.11s
[254/267] RGB-D 270->271: fitness=0.385, rmse=0.4 mm, 0.11s
[255/267] RGB-D 271->272: fitness=0.392, rmse=0.4 mm, 0.11s
[256/267] RGB-D 272->273: fitness=0.395, rmse=0.3 mm, 0.10s
[257/267] RGB-D 273->274: fitness=0.387, rmse=0.2 mm, 0.12s
[258/267] RGB-D 274->275: fitness=0.394, rmse=0.4 mm, 0.11s
[259/267] RGB-D 275->276: fitness=0.398, rmse=0.2 mm, 0.11s
[260/267] RGB-D 276->277: fitness=0.397, rmse=0.4 mm, 0.11s
[261/267] RGB-D 277->278: fitness=0.402, rmse=0.4 mm, 0.11s
[262/267] RGB-D 278->279: fitness=0.400, rmse=0.3 mm, 0.11s
[263/267] RGB-D 279->280: fitness=0.405, rmse=0.2 mm, 0.11s
[264/267] RGB-D 280->281: fitness=0.409, rmse=0.3 mm, 0.11s
[265/267] RGB-D 281->282: fitness=0.404, rmse=0.3 mm, 0.11s
[266/267] RGB-D 282->283: fitness=0.418, rmse=0.3 mm, 0.11s
[267/267] RGB-D 283->284: fitness=0.418, rmse=0.4 mm, 0.11s
Panorama: D:\central_strip_Panoramic_Camera\new_data\panorama_run_20260730_195816_975\panorama.jpg
Report: D:\central_strip_Panoramic_Camera\new_data\panorama_run_20260730_195816_975\report.json
Processing time: 494.399 s
